30	0.81	1.66	4.55	8.55	4.24	2.30	0.76
60	1.24	2.36	4.99	8.79	4.79	3.09	1.20
90	1.04	2.73	5.50	8.95	5.38	3.56	1.29
120	1.75	2.34	5.54	8.59	4.99	4.32	1.76
150	1.48	2.81	5.15	8.71	5.07	3.52	1.96
180	1.83	3.05	4.91	8.71	5.11	3.84	1.91
210	1.43	2.89	5.46	7.88	4.87	3.48	2.45
240	1.45	2.57	5.23	7.32	5.38	3.76	2.77
270	1.86	3.84	5.46	7.09	4.83	3.96	2.10
300	1.64	3.05	5.54	7.36	4.95	3.44	1.98
